"AIM" "GEM" "MESSAGE" "MESSAGE_COV" "REMIND" "WITCH"
"~ I(cb*1e-2) + I((pos.cb - cb)*1e-2)" 0.00400337126889945 0.00241043470343932 0.00416732365122166 0.00300995211028227 0.00296655642958309 0.00354825254015735
"~ I(cb*1e-2) + I(((pos.cb - cb)*1e-2)^2) + I(exp(pos.cb/cb))" 0.00415367750348963 0.0024865108729869 0.0037572483980273 0.00230266178408843 0.00291760649893725 0.00340366638645587
"~ I(cb*1e-2) + I(sqrt((pos.cb - cb)*1e-2))" 0.00397774565107156 0.00242587607515836 0.00453402230181662 0.00347930156843619 0.00291531758419333 0.00341849494185613
"~ I(cb*1e-2) + I(pos.cb*1e-2) + I(sqrt((pos.cb - cb)*1e-2))" 0.0040514114161001 0.0024368332590396 0.00406466716128157 0.0024677037513471 0.00290353587147065 0.00336566454596331
"~ I(cb*1e-2) + I((pos.cb*1e-2)^2) + I(sqrt((pos.cb - cb)*1e-2))" 0.00391188008776016 0.00239637260282869 0.00436501688863506 0.00317448217553673 0.00281131523834492 0.00333811587906555
"~ I(cb*1e-2) + I((pos.cb*1e-2)^2) + I(sqrt((pos.cb - cb)*1e-2)) + I(exp(pos.cb/cb))" 0.0040682849799012 0.0022977413697392 0.00426152813372409 0.00259306785601547 0.00278565943985093 0.00320496406578184
"~ I(cb*1e-2) + I((pos.cb*1e-2)^2) + I((pos.cb - cb)*1e-2) + I(exp(pos.cb/cb))" 0.00423889598586918 0.00226720749870118 0.00395143242117739 0.0026498836843802 0.00273412246652779 0.0030601895094313
"~ I(cb*1e-2) + I((pos.cb*1e-2)^2) + I((pos.cb - cb)*1e-2)" 0.00382672695819003 0.00218692482524387 0.0039777722216689 0.0030731216839369 0.00271084113024466 0.00299281054417522
"~ I(cb*1e-2) + I((pos.cb*1e-2)^2) + I(((pos.cb - cb)*1e-2)^2)" 0.00423504993150651 0.00255837152090728 0.00446917195978867 0.00264858666959809 0.00296459697612074 0.00368286399653689
"~ I(cb*1e-2) + I((pos.cb*1e-2)^2) + I(sqrt((pos.cb - cb)*1e-2)) + I(pos.cb/cb)" 0.00400689919211152 0.00229847409519114 0.00423235897713289 0.00265551929181925 0.00275552252480637 0.00319059789747993
"~ I(cb*1e-2) + I((cb*1e-2)^2) + I((pos.cb - cb)*1e-2)" 0.00387572602820816 0.00223406920989743 0.00403830212843624 0.00310533935697705 0.00271357269779885 0.00299740615578214
"~ I(cb*1e-2) + I(((pos.cb - cb)*1e-2)^2) + I((pos.cb - cb)*1e-2)" 0.00411603290688551 0.00248108269663141 0.00418459485995984 0.00219953506306094 0.00291938683496958 0.00341975569706984
