"cb.grid","bestos.mm","bestos.0","bestos.1","bestos.2","bestos.se"
0,760,760,760,760,760
750,0,0,0,0,0.438965586044327
760,0,0,0,0,0.500432389975795
770,0,0,0,0,0.566275045651875
780,0,0,0,0,0.635640049269593
790,0,0,0,0,0.707321598562947
800,0,0,0,0,0.779742901894024
810,0,0,0,0,0.850963917850079
820,0,0,0,0,0.918723553058161
830,0,0,0,0,0.980522278790206
840,0,0,0,0,1.03374715103957
850,0,0,0,0,1.07583541873265
860,0,0,0,0,1.10446589343699
870,0,0,0,0,1.11776021546655
880,0,0,0,0,1.11447069101736
890,0,0,0,0,1.09412915290154
900,0,0,0,0,1.05713351712483
910,0,0,0,0,1.00475562906341
920,0,0,0,0,0.939064678431677
930,0,0,0,0,0.862772901897246
940,0,0,0,0,0.779021911244124
950,0,0,0,0,0.691136362432973
960,0,0,0,0,0.602375217169742
970,0,0,0,0,0.51570914573481
980,0,0,0,0,0.433646470937799
990,0,0,0,0,0.358121097124392
1000,0,0,0,0,0.290446075377754
1010,0,0,0,0,0.231327629264471
1020,0,0,0,0,0.180927890688165
1030,0,0,0,0,0.138960892768707
1040,0,0,0,0,0.104805522290347
1050,0,0,0,0,0.0776218141885978
1060,0,0,0,0,0.0564521332604926
1070,0,0,0,0,0.0403156692879823
1080,0,0,0,0,0.0282725080730554
1090,0,0,0,0,0.0194693631720204
1100,0,0,0,0,0.0131654619632441
1110,0,0,0,0,0.0087421329282475
1120,0,0,0,0,0.0057002730032198
1130,0,0,0,0,0.00364981500771988
1140,0,0,0,0,0.00229479025119789
1150,0,0,0,0,0.00141681154355978
1160,0,0,0,0,0.000858970252631547
1170,0,0,0,0,0.000511376902075336
1180,0,0,0,0,0
1190,0,0,0,0,0
1200,0,0,0,0,0
1210,0,0,0,0,0
1220,0,0,0,0,0
1230,0,0,0,0,0
1240,0,0,0,0,0
1250,0,0,0,0,0
1260,0,0,0,0,0
1270,0,0,0,0,0
1280,0,0,0,0,0
1290,0,0,0,0,0
1300,0,0,0,0,0
1310,0,0,0,0,0
1320,0,0,0,0,0
1330,0,0,0,0,0
1340,0,0,0,0,0
1350,0,0,0,0,0
1360,0,0,0,0,0
1370,0,0,0,0,0
1380,0,0,0,0,0
1390,0,0,0,0,0
1400,0,0,0,0,0
1410,0,0,0,0,0
1420,0,0,0,0,0
1430,0,0,0,0,0
1440,0,0,0,0,0
1450,0,0,0,0,0
1460,0,0,0,0,0
1470,0,0,0,0,0
1480,0,0,0,0,0
1490,0,0,0,0,0
1500,0,0,0,0,0
1510,0,0,0,0,0
1520,0,0,0,0,0
1530,0,0,0,0,0
1540,0,0,0,0,0
1550,0,0,0,0,0
1560,0,0,0,0,0
1570,0,0,0,0,0
1580,0,0,0,0,0
1590,0,0,0,0,0
1600,0,0,0,0,0
1610,0,0,0,0,0
1620,0,0,0,0,0
1630,0,0,0,0,0
1640,0,0,0,0,0
1650,0,0,0,0,0
1660,0,0,0,0,0
1670,0,0,0,0,0
1680,0,0,0,0,0
1690,0,0,0,0,0
1700,0,0,0,0,0
1710,0,0,0,0,0
1720,0,0,0,0,0
1730,0,0,0,0,0
1740,0,0,0,0,0
1750,0,0,0,0,0
1760,0,0,0,0,0
1770,0,0,0,0,0
1780,0,0,0,0,0
1790,0,0,0,0,0
1800,0,0,0,0,0
1810,0,0,0,0,0
1820,0,0,0,0,0
1830,0,0,0,0,0
1840,0,0,0,0,0
1850,0,0,0,0,0
1860,0,0,0,0,0
1870,0,0,0,0,0
1880,0,0,0,0,0
1890,0,0,0,0,0
1900,0,0,0,0,0
1910,0,0,0,0,0
1920,0,0,0,0,0
1930,0,0,0,0,0
1940,0,0,0,0,0
1950,0,0,0,0,0
1960,0,0,0,0,0
1970,0,0,0,0,0
1980,0,0,0,0,0
1990,0,0,0,0,0
2000,0,0,0,0,0
